name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,sprint_map,project_map,uniId
Xây dựng chức năng xem báo cáo thống kê (Admin),MAJOR,"<p>Tạo biểu đồ và báo cáo về tình hình thu chi theo thời gian, danh mục.</p>",2025-04-05,2025-04-12,sprint6_project3,TODO,PRACTICE,Android-Database,21130612,21130219,Thiết kế biểu đồ - Tích hợp dữ liệu,MEDIUM,6,project3,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Kiểm thử chức năng thêm/sửa/xóa giao dịch,MAJOR,<p>Thực hiện kiểm thử để đảm bảo các thao tác với giao dịch hoạt động đúng.</p>,2025-04-13,2025-04-19,sprint7_project3,INPROCESS,PRACTICE,Android-Research,21130601,21130612,Lập test case - Thực hiện test,MEDIUM,7,project3,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Kiểm thử và sửa lỗi giao diện người dùng,MAJOR,"<p>Kiểm tra tất cả các màn hình, đảm bảo giao diện hiển thị đúng và thân thiện.</p>",2025-04-15,2025-04-19,sprint7_project3,TODO,PRACTICE,Android-XML,21130612,21130219,Kiểm tra lỗi hiển thị - Điều chỉnh layout,MEDIUM,7,project3,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Đóng gói ứng dụng để kiểm thử (APK),MAJOR,<p>Tạo file APK để có thể cài đặt và kiểm thử ứng dụng trên thiết bị thật.</p>,2025-04-16,2025-04-19,sprint7_project3,TODO,PRACTICE,Android,21130219,21130601,Generate signed APK - Cài đặt trên thiết bị,MEDIUM,7,project3,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Chuẩn bị tài liệu hướng dẫn sử dụng,MAJOR,<p>Viết tài liệu hướng dẫn chi tiết cách sử dụng ứng dụng cho người dùng cuối.</p>,2025-04-20,2025-04-26,sprint8_project3,INPROCESS,THEORY,Document,21130612,21130219,Viết mô tả chức năng - Chụp ảnh màn hình,MEDIUM,8,project3,8b238fa2-6e02-47b0-8343-bd97d791ae65,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hoàn thiện tài liệu thiết kế hệ thống,MAJOR,"<p>Tổng hợp và hoàn thiện các tài liệu thiết kế cơ sở dữ liệu, kiến trúc hệ thống.</p>",2025-04-21,2025-04-26,sprint8_project3,TODO,THEORY,Document-Database,21130219,21130601,Review ERD - Cập nhật tài liệu kỹ thuật,MEDIUM,8,project3,8b238fa2-6e02-47b0-8343-bd97d791ae65,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hoàn thành báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp các kết quả dự án, viết báo cáo và chuẩn bị slide thuyết trình.</p>",2025-04-23,2025-04-26,sprint8_project3,TODO,THEORY,Document,21130601,21130612,Viết tóm tắt dự án - Thiết kế slide,MEDIUM,8,project3,8b238fa2-6e02-47b0-8343-bd97d791ae65,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Khảo sát các ứng dụng đọc tin tức hiện có,MAJOR,<p>Nghiên cứu các ứng dụng đọc tin tức phổ biến và tính năng nổi bật của chúng.</p>,2025-02-09,2025-02-13,sprint1_project4,DONE,THEORY,Research,21130363,21130175,Phân tích đối thủ - Đánh giá tính năng,MEDIUM,1,project4,c469d85a-a19c-4411-88ca-c0041af4f8e5,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Xác định yêu cầu chức năng và nguồn tin tức,MAJOR,"<p>Liệt kê các tính năng cần thiết (tùy chỉnh nguồn, lưu tin, đọc offline).</p>",2025-02-10,2025-02-14,sprint1_project4,DONE,THEORY,Document,21130175,21130171,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project4,c469d85a-a19c-4411-88ca-c0041af4f8e5,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project4,DONE,PRACTICE,Android,21130171,21130363,Cài đặt Android Studio - Khởi tạo project,LOW,1,project4,c469d85a-a19c-4411-88ca-c0041af4f8e5,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Tìm hiểu kiến trúc Fragment và Navigation Component,MAJOR,<p>Nghiên cứu cách sử dụng Fragment để xây dựng giao diện đa màn hình.</p>,2025-02-16,2025-02-20,sprint2_project4,INPROCESS,THEORY,Android-Research,21130175,21130171,Đọc tài liệu Fragment - Thực hành ví dụ,MEDIUM,2,project4,36524122-5b4b-47aa-8d46-d064c6cb28fd,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Thiết kế Prototype cho màn hình danh sách tin tức,MAJOR,<p>Xây dựng layout XML cho màn hình chính hiển thị danh sách các bài tin.</p>,2025-02-23,2025-03-01,sprint2_project4,TODO,PRACTICE,XML-Android,21130171,21130363,Vẽ wireframe - Code XML,MEDIUM,2,project4,36524122-5b4b-47aa-8d46-d064c6cb28fd,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Phân tích thiết kế Database cho tin tức,MAJOR,"<p>Thiết kế cấu trúc CSDL để lưu trữ tin tức, nguồn tin, danh mục, người dùng.</p>",2025-02-25,2025-03-01,sprint2_project4,TODO,PRACTICE,Database-Document,21130363,21130175,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project4,36524122-5b4b-47aa-8d46-d064c6cb28fd,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng đọc tin tức.</p>,2025-03-02,2025-03-08,sprint3_project4,INPROCESS,PRACTICE,Android,21130171,21130363,Thiết kế layout - Xử lý input,MEDIUM,3,project4,dea18fd8-488a-4ba4-ab67-465749cc8498,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project4,TODO,PRACTICE,Research-Android,21130363,21130175,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project4,dea18fd8-488a-4ba4-ab67-465749cc8498,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project4,TODO,PRACTICE,Android,21130175,21130171,Thiết kế form - Kết nối API,MEDIUM,3,project4,dea18fd8-488a-4ba4-ab67-465749cc8498,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email).</p>",2025-03-09,2025-03-15,sprint4_project4,INPROCESS,PRACTICE,Android,21130363,21130175,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project4,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project4,TODO,PRACTICE,Android,21130175,21130171,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project4,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project4,TODO,PRACTICE,Research-Database,21130171,21130363,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project4,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng hiển thị danh sách tin tức,MAJOR,<p>Xây dựng màn hình hiển thị danh sách các bài tin từ các nguồn khác nhau.</p>,2025-03-16,2025-03-29,sprint5_project4,INPROCESS,PRACTICE,Android-Database,21130175,21130171,Thiết kế layout - Tích hợp dữ liệu từ API,MEDIUM,5,project4,d7111352-035f-46fa-9d96-85812f81b0f4,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng xem chi tiết tin tức,MAJOR,<p>Cho phép người dùng xem nội dung đầy đủ của một bài tin.</p>,2025-03-18,2025-03-29,sprint5_project4,TODO,PRACTICE,Android-XML,21130171,21130363,Thiết kế layout chi tiết - Hiển thị nội dung,MEDIUM,5,project4,d7111352-035f-46fa-9d96-85812f81b0f4,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hiện thực chức năng tùy chỉnh danh mục tin tức,MAJOR,<p>Cho phép người dùng chọn/bỏ chọn các danh mục tin tức yêu thích.</p>,2025-03-20,2025-03-29,sprint5_project4,TODO,PRACTICE,Android-Database,21130363,21130175,Thiết kế giao diện tùy chỉnh - Lưu lựa chọn,MEDIUM,5,project4,d7111352-035f-46fa-9d96-85812f81b0f4,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Xây dựng chức năng quản lý nguồn tin (Admin),MAJOR,"<p>Hiện thực giao diện và logic để quản lý các nguồn tin tức (thêm, sửa, xóa).</p>",2025-03-30,2025-04-12,sprint6_project4,INPROCESS,PRACTICE,Android-Database,21130171,21130363,Thiết kế trang Admin - Xử lý CRUD nguồn tin,MEDIUM,6,project4,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Phát triển chức năng quản lý người dùng (Admin),MAJOR,<p>Cho phép quản trị viên xem và quản lý danh sách người dùng ứng dụng.</p>,2025-04-02,2025-04-12,sprint6_project4,TODO,PRACTICE,Android-Database,21130363,21130175,Thiết kế bảng người dùng - Cập nhật trạng thái,MEDIUM,6,project4,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Xây dựng chức năng báo cáo hoạt động người dùng (Admin),MAJOR,"<p>Tạo báo cáo thống kê về các tin tức được đọc nhiều, danh mục phổ biến.</p>",2025-04-05,2025-04-12,sprint6_project4,TODO,PRACTICE,Android-Database,21130175,21130171,Thiết kế biểu đồ - Tích hợp dữ liệu,MEDIUM,6,project4,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Kiểm thử chức năng đọc tin tức và tùy chỉnh,MAJOR,<p>Thực hiện kiểm thử để đảm bảo người dùng có thể đọc tin và tùy chỉnh nguồn.</p>,2025-04-13,2025-04-19,sprint7_project4,INPROCESS,PRACTICE,Android-Research,21130363,21130175,Lập test case - Thực hiện test,MEDIUM,7,project4,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Kiểm thử và sửa lỗi giao diện người dùng,MAJOR,"<p>Kiểm tra tất cả các màn hình, đảm bảo giao diện hiển thị đúng và thân thiện.</p>",2025-04-15,2025-04-19,sprint7_project4,TODO,PRACTICE,Android-XML,21130175,21130171,Kiểm tra lỗi hiển thị - Điều chỉnh layout,MEDIUM,7,project4,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Đóng gói ứng dụng để kiểm thử (APK),MAJOR,<p>Tạo file APK để có thể cài đặt và kiểm thử ứng dụng trên thiết bị thật.</p>,2025-04-16,2025-04-19,sprint7_project4,TODO,PRACTICE,Android,21130171,21130363,Generate signed APK - Cài đặt trên thiết bị,MEDIUM,7,project4,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Chuẩn bị tài liệu hướng dẫn sử dụng,MAJOR,<p>Viết tài liệu hướng dẫn chi tiết cách sử dụng ứng dụng cho người dùng cuối.</p>,2025-04-20,2025-04-26,sprint8_project4,INPROCESS,THEORY,Document,21130175,21130171,Viết mô tả chức năng - Chụp ảnh màn hình,MEDIUM,8,project4,8b238fa2-6e02-47b0-8343-bd97d791ae65,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hoàn thiện tài liệu thiết kế hệ thống,MAJOR,"<p>Tổng hợp và hoàn thiện các tài liệu thiết kế cơ sở dữ liệu, kiến trúc hệ thống.</p>",2025-04-21,2025-04-26,sprint8_project4,TODO,THEORY,Document-Database,21130171,21130363,Review ERD - Cập nhật tài liệu kỹ thuật,MEDIUM,8,project4,8b238fa2-6e02-47b0-8343-bd97d791ae65,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Hoàn thành báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp các kết quả dự án, viết báo cáo và chuẩn bị slide thuyết trình.</p>",2025-04-23,2025-04-26,sprint8_project4,TODO,THEORY,Document,21130363,21130175,Viết tóm tắt dự án - Thiết kế slide,MEDIUM,8,project4,8b238fa2-6e02-47b0-8343-bd97d791ae65,da74a26f-8184-4270-b594-cb1a11fdcb78,21130363
Khảo sát các ứng dụng sức khỏe hiện có,MAJOR,<p>Nghiên cứu các ứng dụng theo dõi sức khỏe và thể dục phổ biến.</p>,2025-02-09,2025-02-13,sprint1_project5,DONE,THEORY,Research,22130001,20130196,Phân tích đối thủ - Đánh giá tính năng,MEDIUM,1,project5,c469d85a-a19c-4411-88ca-c0041af4f8e5,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Xác định yêu cầu chức năng theo dõi hoạt động,MAJOR,"<p>Liệt kê các tính năng cần thiết (theo dõi bước chân, calo, giấc ngủ).</p>",2025-02-10,2025-02-14,sprint1_project5,DONE,THEORY,Document,20130196,21130004,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project5,c469d85a-a19c-4411-88ca-c0041af4f8e5,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project5,DONE,PRACTICE,Android,21130004,22130001,Cài đặt Android Studio - Khởi tạo project,LOW,1,project5,c469d85a-a19c-4411-88ca-c0041af4f8e5,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Tìm hiểu các API cảm biến của Android,MAJOR,"<p>Nghiên cứu cách truy cập và sử dụng các cảm biến (gia tốc kế, con quay hồi chuyển).</p>",2025-02-16,2025-02-20,sprint2_project5,INPROCESS,THEORY,Android-Research,20130196,21130004,Đọc tài liệu Sensor API - Thực hành ví dụ,MEDIUM,2,project5,36524122-5b4b-47aa-8d46-d064c6cb28fd,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Thiết kế Prototype cho màn hình Dashboard,MAJOR,<p>Xây dựng layout XML cho màn hình chính hiển thị tổng quan hoạt động.</p>,2025-02-23,2025-03-01,sprint2_project5,TODO,PRACTICE,XML-Android,21130004,22130001,Vẽ wireframe - Code XML,MEDIUM,2,project5,36524122-5b4b-47aa-8d46-d064c6cb28fd,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Phân tích thiết kế Database cho dữ liệu sức khỏe,MAJOR,"<p>Thiết kế cấu trúc CSDL để lưu trữ dữ liệu hoạt động, giấc ngủ, calo, người dùng.</p>",2025-02-25,2025-03-01,sprint2_project5,TODO,PRACTICE,Database-Document,22130001,20130196,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project5,36524122-5b4b-47aa-8d46-d064c6cb28fd,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng sức khỏe.</p>,2025-03-02,2025-03-08,sprint3_project5,INPROCESS,PRACTICE,Android,21130004,22130001,Thiết kế layout - Xử lý input,MEDIUM,3,project5,dea18fd8-488a-4ba4-ab67-465749cc8498,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project5,TODO,PRACTICE,Research-Android,22130001,20130196,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project5,dea18fd8-488a-4ba4-ab67-465749cc8498,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project5,TODO,PRACTICE,Android,20130196,21130004,Thiết kế form - Kết nối API,MEDIUM,3,project5,dea18fd8-488a-4ba4-ab67-465749cc8498,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (chiều cao, cân nặng).</p>",2025-03-09,2025-03-15,sprint4_project5,INPROCESS,PRACTICE,Android,22130001,20130196,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project5,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project5,TODO,PRACTICE,Android,20130196,21130004,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project5,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project5,TODO,PRACTICE,Research-Database,21130004,22130001,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project5,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng theo dõi bước chân,MAJOR,<p>Tích hợp API cảm biến để đếm số bước chân của người dùng.</p>,2025-03-16,2025-03-29,sprint5_project5,INPROCESS,PRACTICE,Android-Database,20130196,21130004,Nghiên cứu Sensor API - Ghi nhận dữ liệu,MEDIUM,5,project5,d7111352-035f-46fa-9d96-85812f81b0f4,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng tính toán calo tiêu thụ,MAJOR,<p>Phát triển logic tính toán calo dựa trên hoạt động và thông tin cá nhân.</p>,2025-03-18,2025-03-29,sprint5_project5,TODO,PRACTICE,Android-Research,21130004,22130001,Nghiên cứu công thức tính calo - Code logic,MEDIUM,5,project5,d7111352-035f-46fa-9d96-85812f81b0f4,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hiện thực chức năng ghi nhận giấc ngủ,MAJOR,<p>Cho phép người dùng ghi nhận thời gian bắt đầu và kết thúc giấc ngủ.</p>,2025-03-20,2025-03-29,sprint5_project5,TODO,PRACTICE,Android-Database,22130001,20130196,Thiết kế giao diện - Lưu dữ liệu giấc ngủ,MEDIUM,5,project5,d7111352-035f-46fa-9d96-85812f81b0f4,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Xây dựng chức năng quản lý người dùng (Admin),MAJOR,<p>Hiện thực giao diện và logic để quản lý danh sách người dùng ứng dụng.</p>,2025-03-30,2025-04-12,sprint6_project5,INPROCESS,PRACTICE,Android-Database,21130004,22130001,Thiết kế trang Admin - Xử lý CRUD người dùng,MEDIUM,6,project5,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Phát triển chức năng quản lý dữ liệu sức khỏe (Admin),MAJOR,<p>Cho phép quản trị viên xem và quản lý dữ liệu hoạt động của người dùng (nếu cần).</p>,2025-04-02,2025-04-12,sprint6_project5,TODO,PRACTICE,Android-Database,22130001,20130196,Thiết kế bảng dữ liệu sức khỏe - Cập nhật dữ liệu,MEDIUM,6,project5,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Xây dựng chức năng báo cáo sức khỏe tổng quan (Admin),MAJOR,"<p>Tạo báo cáo thống kê về hoạt động, calo, giấc ngủ của người dùng.</p>",2025-04-05,2025-04-12,sprint6_project5,TODO,PRACTICE,Android-Database,20130196,21130004,Thiết kế biểu đồ - Tích hợp dữ liệu,MEDIUM,6,project5,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Kiểm thử chức năng theo dõi hoạt động,MAJOR,"<p>Thực hiện kiểm thử để đảm bảo tính năng theo dõi bước chân, calo hoạt động đúng.</p>",2025-04-13,2025-04-19,sprint7_project5,INPROCESS,PRACTICE,Android-Research,22130001,20130196,Lập test case - Thực hiện test,MEDIUM,7,project5,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Kiểm thử và sửa lỗi giao diện người dùng,MAJOR,"<p>Kiểm tra tất cả các màn hình, đảm bảo giao diện hiển thị đúng và thân thiện.</p>",2025-04-15,2025-04-19,sprint7_project5,TODO,PRACTICE,Android-XML,20130196,21130004,Kiểm tra lỗi hiển thị - Điều chỉnh layout,MEDIUM,7,project5,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Đóng gói ứng dụng để kiểm thử (APK),MAJOR,<p>Tạo file APK để có thể cài đặt và kiểm thử ứng dụng trên thiết bị thật.</p>,2025-04-16,2025-04-19,sprint7_project5,TODO,PRACTICE,Android,21130004,22130001,Generate signed APK - Cài đặt trên thiết bị,MEDIUM,7,project5,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Chuẩn bị tài liệu hướng dẫn sử dụng,MAJOR,<p>Viết tài liệu hướng dẫn chi tiết cách sử dụng ứng dụng cho người dùng cuối.</p>,2025-04-20,2025-04-26,sprint8_project5,INPROCESS,THEORY,Document,20130196,21130004,Viết mô tả chức năng - Chụp ảnh màn hình,MEDIUM,8,project5,8b238fa2-6e02-47b0-8343-bd97d791ae65,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hoàn thiện tài liệu thiết kế hệ thống,MAJOR,"<p>Tổng hợp và hoàn thiện các tài liệu thiết kế cơ sở dữ liệu, kiến trúc hệ thống.</p>",2025-04-21,2025-04-26,sprint8_project5,TODO,THEORY,Document-Database,21130004,22130001,Review ERD - Cập nhật tài liệu kỹ thuật,MEDIUM,8,project5,8b238fa2-6e02-47b0-8343-bd97d791ae65,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Hoàn thành báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp các kết quả dự án, viết báo cáo và chuẩn bị slide thuyết trình.</p>",2025-04-23,2025-04-26,sprint8_project5,TODO,THEORY,Document,22130001,20130196,Viết tóm tắt dự án - Thiết kế slide,MEDIUM,8,project5,8b238fa2-6e02-47b0-8343-bd97d791ae65,7d22f387-ce6e-4cec-869a-f335bcedb155,22130001
Khảo sát các ứng dụng quản lý công việc hiện có,MAJOR,<p>Nghiên cứu các ứng dụng To-Do List phổ biến và tính năng của chúng.</p>,2025-02-09,2025-02-13,sprint1_project6,DONE,THEORY,Research,21130279,21130326,Phân tích đối thủ - Đánh giá tính năng,MEDIUM,1,project6,c469d85a-a19c-4411-88ca-c0041af4f8e5,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Xác định yêu cầu chức năng cho ứng dụng quản lý công việc,MAJOR,"<p>Liệt kê các tính năng cần thiết (thêm/xóa/sửa nhiệm vụ, nhắc nhở, phân loại).</p>",2025-02-10,2025-02-14,sprint1_project6,DONE,THEORY,Document,21130326,20130237,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project6,c469d85a-a19c-4411-88ca-c0041af4f8e5,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project6,DONE,PRACTICE,Android,20130237,21130279,Cài đặt Android Studio - Khởi tạo project,LOW,1,project6,c469d85a-a19c-4411-88ca-c0041af4f8e5,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Tìm hiểu cách xây dựng giao diện động (RecyclerView),MAJOR,<p>Nghiên cứu RecyclerView để hiển thị danh sách công việc một cách hiệu quả.</p>,2025-02-16,2025-02-20,sprint2_project6,INPROCESS,THEORY,Android-XML,21130326,20130237,Đọc tài liệu RecyclerView - Thực hành ví dụ,MEDIUM,2,project6,36524122-5b4b-47aa-8d46-d064c6cb28fd,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Thiết kế Prototype cho màn hình danh sách công việc,MAJOR,<p>Xây dựng layout XML cho màn hình chính hiển thị danh sách các nhiệm vụ.</p>,2025-02-23,2025-03-01,sprint2_project6,TODO,PRACTICE,XML-Android,20130237,21130279,Vẽ wireframe - Code XML,MEDIUM,2,project6,36524122-5b4b-47aa-8d46-d064c6cb28fd,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Phân tích thiết kế Database cho công việc,MAJOR,"<p>Thiết kế cấu trúc CSDL để lưu trữ nhiệm vụ, danh mục, trạng thái, người dùng.</p>",2025-02-25,2025-03-01,sprint2_project6,TODO,PRACTICE,Database-Document,21130279,21130326,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project6,36524122-5b4b-47aa-8d46-d064c6cb28fd,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng quản lý công việc.</p>,2025-03-02,2025-03-08,sprint3_project6,INPROCESS,PRACTICE,Android,20130237,21130279,Thiết kế layout - Xử lý input,MEDIUM,3,project6,dea18fd8-488a-4ba4-ab67-465749cc8498,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project6,TODO,PRACTICE,Research-Android,21130279,21130326,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project6,dea18fd8-488a-4ba4-ab67-465749cc8498,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project6,TODO,PRACTICE,Android,21130326,20130237,Thiết kế form - Kết nối API,MEDIUM,3,project6,dea18fd8-488a-4ba4-ab67-465749cc8498,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email).</p>",2025-03-09,2025-03-15,sprint4_project6,INPROCESS,PRACTICE,Android,21130279,21130326,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project6,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,01c990e3-aa4b-48a8-a9e0-d3321f2bbdeb,21130279
